ID,comp/hr
612,41
613,37
614,44
615,36
616,30
617,51
618,29
619,26
620,28
621,23
622,50
623,28
624,39
625,29
626,26
627,29
628,23
629,26
630,26
631,35
632,41
633,47
634,52
635,27
636,45
637,24
638,40
639,26
640,38
641,46
642,43
643,37
644,39
645,22
646,52
647,46
648,45
649,51
650,39
651,31
652,50
653,53
654,35
655,51
656,42
657,33
658,35
659,48
660,26
661,42
662,41
663,29
664,31
665,28
666,46
667,25
668,28
669,32
670,34
671,45
672,43
673,31
674,46
675,22
676,23
677,47
678,33
679,51
680,42
681,47
682,32
683,44
684,23
685,47
686,36
687,36
688,33
689,39
690,34
691,51
692,42
693,22
694,49
695,51
696,55
697,37
698,31
699,46
700,29
701,55
702,43
703,35
704,46
705,54
706,24
707,48
708,48
709,38
710,52
711,38
712,46
713,38
714,40
715,52
716,34
717,33
718,36
719,52
720,44
721,22
722,23
723,26
724,24
725,52
726,48
727,50
728,40
729,31
730,40
731,41
732,40
733,46
734,29
735,31
736,55
737,26
738,48
739,42
740,55
